user name,request number,time round ratio,waiting_time,running_time,node_hour,request_cost,request_type,end
r4,131,5.0,"2 days, 16:00:00",16:00:00,768.0,4608.0,large,2022-01-08 08:00:00
r4,132,259.0,"5 days, 9:00:00",0:30:00,1.0,6.0,short,2022-01-10 09:30:00
r5,133,11.2,"2 days, 3:00:00",5:00:00,55.0,330.0,medium,2022-01-07 08:00:00
r5,134,17.0,"4 days, 16:00:00",7:00:00,672.0,4032.0,huge,2022-01-09 23:00:00
r5,135,7.428571428571429,"1 day, 21:00:00",7:00:00,42.0,252.0,medium,2022-01-07 04:00:00
r5,136,131.0,"5 days, 10:00:00",1:00:00,2.0,12.0,short,2022-01-10 11:00:00
r5,137,132.0,"5 days, 11:00:00",1:00:00,2.0,12.0,short,2022-01-10 12:00:00
r5,138,265.0,"5 days, 12:00:00",0:30:00,0.5,3.0,short,2022-01-10 12:30:00
r5,139,2.5,12:00:00,8:00:00,8.0,52.8,gpu,2022-01-05 20:00:00
r5,140,134.0,"5 days, 13:00:00",1:00:00,2.0,12.0,short,2022-01-10 14:00:00
r5,141,4.666666666666667,"1 day, 9:00:00",9:00:00,288.0,1728.0,large,2022-01-06 18:00:00
r5,142,4.7272727272727275,"1 day, 17:00:00",11:00:00,253.0,1518.0,large,2022-01-07 04:00:00
r6,143,2.5476190476190474,"2 days, 17:00:00","1 day, 18:00:00",1092.0,6552.0,huge,2022-01-09 11:00:00
r6,144,10.333333333333334,"2 days, 8:00:00",6:00:00,66.0,396.0,medium,2022-01-07 14:00:00
r6,145,12.75,"1 day, 23:00:00",4:00:00,24.0,144.0,medium,2022-01-07 03:00:00
r6,146,4.666666666666667,"1 day, 20:00:00",12:00:00,24.0,158.39999999999998,gpu,2022-01-07 08:00:00
r6,147,15.25,"2 days, 9:00:00",4:00:00,40.0,240.0,medium,2022-01-07 13:00:00
r6,148,7.0,"2 days, 0:00:00",8:00:00,48.0,288.0,medium,2022-01-07 08:00:00
r6,149,13.0,"5 days, 12:00:00",11:00:00,44.0,290.4,gpu,2022-01-10 23:00:00
r6,150,269.0,"5 days, 14:00:00",0:30:00,0.5,3.0,short,2022-01-10 14:30:00
r6,151,8.0,"2 days, 1:00:00",7:00:00,63.0,378.0,medium,2022-01-07 08:00:00
r6,152,15.5,"2 days, 10:00:00",4:00:00,44.0,264.0,medium,2022-01-07 14:00:00
r7,153,13.9,"5 days, 9:00:00",10:00:00,420.0,2520.0,large,2022-01-10 19:00:00
r8,154,136.0,"5 days, 15:00:00",1:00:00,2.0,12.0,short,2022-01-10 16:00:00
r8,155,18.375,"5 days, 19:00:00",8:00:00,256.0,1536.0,large,2022-01-11 03:00:00
r8,156,137.0,"5 days, 16:00:00",1:00:00,2.0,12.0,short,2022-01-10 17:00:00
r8,157,15.875,"4 days, 23:00:00",8:00:00,1016.0,6096.0,huge,2022-01-10 07:00:00
r8,158,13.5,"2 days, 2:00:00",4:00:00,12.0,72.0,medium,2022-01-07 06:00:00
r9,159,2.6097560975609757,"2 days, 18:00:00","1 day, 17:00:00",738.0,4428.0,huge,2022-01-09 11:00:00
r9,160,138.0,"5 days, 17:00:00",1:00:00,2.0,12.0,short,2022-01-10 18:00:00
r9,161,9.666666666666666,"2 days, 4:00:00",6:00:00,42.0,252.0,medium,2022-01-07 10:00:00
r9,162,277.0,"5 days, 18:00:00",0:30:00,1.0,6.0,short,2022-01-10 18:30:00
r9,163,6.875,"1 day, 23:00:00",8:00:00,16.0,105.6,gpu,2022-01-07 07:00:00
r9,164,21.333333333333332,"2 days, 13:00:00",3:00:00,21.0,126.0,medium,2022-01-07 16:00:00
"{'short': 65, 'medium': 50, 'large': 14, 'gpu': 15, 'huge': 5}"
"{'short': 10, 'medium': 0, 'large': 2, 'gpu': 3, 'huge': 1}"
"{'short': 0, 'medium': 0, 'large': 0, 'gpu': 0, 'huge': 0}"
"{'short': 0, 'medium': 0, 'large': 0, 'gpu': 0, 'huge': 0}"
"{'short': 0, 'medium': 0, 'large': 0, 'gpu': 0, 'huge': 0}"
